name,formula,mol_weight,exact_mass,canonical_SMILES,InChI,num_atoms,num_bonds,num_residues,num_rotors,sequence,num_rings,logP,PSA,MR,"MMFF94 TE for non-opt, kcal/mol","MMFF94 TE for MMFF94-opt, kcal/mol","MMFF94 TE for GAFF-opt, kcal/mol","GAFF TE for non-opt, kcal/mol","GAFF TE for MMFF94-opt, kcal/mol","GAFF TE for GAFF-opt, kcal/mol"
1397_4o0x_orig,C19H20N6O,348.402,348.17,Nc1ncnc(n1)n1c(C)nc2c1cc(C#CC1(O)CCCCC1)cc2	1397_4o0x_orig,"InChI=1S/C19H20N6O/c1-13-23-15-6-5-14(7-10-19(26)8-3-2-4-9-19)11-16(15)25(13)18-22-12-21-17(20)24-18/h5-6,11-12,26H,2-4,8-9H2,1H3,(H2,20,21,22,24)",46,49,0,1,-,4,2.729,102.74,99.6882,48476186452.56772,-94.70207,-103.61161,-nan,303.513,255.801
1683_5htz_pH7,C17H18ClN4O2S2+,409.933,409.056,CC#Cc1cncc(c1)c1cc(c(s1)[C@@]1(C)NC(=[NH2+])N(S(=O)(=O)C1)C)Cl	1683_5htz_pH7,"InChI=1S/C17H17ClN4O2S2/c1-4-5-11-6-12(9-20-8-11)14-7-13(18)15(25-14)17(2)10-26(23,24)22(3)16(19)21-17/h6-9H,10H2,1-3H3,(H2,19,21)/p+1/t17-/m0/s1",44,46,0,2,-,3,2.3775,124.51,114.016,53137126611.36098,-214.71607,-217.07887,-nan,1716.209,1715.354
2457_1hvh_orig,C36H38N4O4,590.711,590.289,N#C/N=C/1\N(Cc2ccc(cc2)CO)[C@H](Cc2ccccc2)[C@@H]([C@H]([C@H](N1Cc1ccc(cc1)CO)Cc1ccccc1)O)O	2457_1hvh_orig,"InChI=1S/C36H38N4O4/c37-25-38-36-39(21-28-11-15-30(23-41)16-12-28)32(19-26-7-3-1-4-8-26)34(43)35(44)33(20-27-9-5-2-6-10-27)40(36)22-29-13-17-31(24-42)18-14-29/h1-18,32-35,41-44H,19-24H2/t32-,33-,34+,35+/m1/s1",82,86,0,10,-,5,3.64628,123.55,177.653,161909432785.35489,120.20070,121.87588,-nan,390.576,410.311
3656_4o0y_orig,C17H19N7O,337.379,337.165,CCNc1nc2c(n1c1ncnc(n1)N)cc(cc2)C#CC(O)(C)C	3656_4o0y_orig,"InChI=1S/C17H19N7O/c1-4-19-15-22-12-6-5-11(7-8-17(2,3)25)9-13(12)24(15)16-21-10-20-14(18)23-16/h5-6,9-10,25H,4H2,1-3H3,(H,19,22)(H2,18,20,21,23)",44,46,0,3,-,3,2.0011,114.77,96.5279,44471375092.77242,-107.31494,-107.09043,-nan,299.417,298.721
3947_5htz_non-chg,C17H17ClN4O2S2,408.925,408.048,CC#Cc1cncc(c1)c1cc(c(s1)[C@@]1(C)NC(=N)N(S(=O)(=O)C1)C)Cl	3947_5htz_non-chg,"InChI=1S/C17H17ClN4O2S2/c1-4-5-11-6-12(9-20-8-11)14-7-13(18)15(25-14)17(2)10-26(23,24)22(3)16(19)21-17/h6-9H,10H2,1-3H3,(H2,19,21)/t17-/m0/s1",43,45,0,2,-,3,4.2969,122.77,113.347,51506170442.76657,-189.50644,-190.39876,-nan,1533.393,1531.764
4784_1hvh_pH7,C36H39N4O4+,591.719,591.297,OCc1ccc(cc1)CN1[C@H](Cc2ccccc2)[C@H](O)[C@H]([C@H](N(/C/1=[NH+]\C#N)Cc1ccc(cc1)CO)Cc1ccccc1)O	4784_1hvh_pH7,"InChI=1S/C36H38N4O4/c37-25-38-36-39(21-28-11-15-30(23-41)16-12-28)32(19-26-7-3-1-4-8-26)34(43)35(44)33(20-27-9-5-2-6-10-27)40(36)22-29-13-17-31(24-42)18-14-29/h1-18,32-35,41-44H,19-24H2/p+1/t32-,33-,34+,35+/m1/s1",83,87,0,10,-,5,1.72688,125.16,178.322,165217009025.01657,39.56763,44.20181,-nan,695.560,709.793
4841_1m48_pH7,C26H31N4O3+,447.549,447.24,COC(=O)[C@H](Cc1ccc(cc1)C#Cc1ccccc1)NC(=O)C[C@H]1CCCN(C1)C(=[NH2+])N	4841_1m48_pH7,"InChI=1S/C26H30N4O3/c1-33-25(32)23(29-24(31)17-22-8-5-15-30(18-22)26(27)28)16-21-13-11-20(12-14-21)10-9-19-6-3-2-4-7-19/h2-4,6-7,11-14,22-23H,5,8,15-18H2,1H3,(H3,27,28)(H,29,31)/p+1/t22-,23+/m1/s1",64,66,0,9,-,3,1.4917,110.25,132.657,94355378477.56657,-118.99036,-124.58323,-nan,565.526,554.126
4842_1m48_non-chg,C26H30N4O3,446.541,446.232,COC(=O)[C@H](Cc1ccc(cc1)C#Cc1ccccc1)NC(=O)C[C@H]1CCCN(C1)C(=N)N	4842_1m48_non-chg,"InChI=1S/C26H30N4O3/c1-33-25(32)23(29-24(31)17-22-8-5-15-30(18-22)26(27)28)16-21-13-11-20(12-14-21)10-9-19-6-3-2-4-7-19/h2-4,6-7,11-14,22-23H,5,8,15-18H2,1H3,(H3,27,28)(H,29,31)/t22-,23+/m1/s1",63,65,0,9,-,3,3.4111,108.51,131.989,91798648924.15544,-103.36966,-95.71096,-nan,568.963,500.624
5056_2cgr_non-chg,C23H20N4O2,384.431,384.159,N#Cc1ccc(cc1)/N=C(\NC(c1ccccc1)c1ccccc1)/NCC(=O)O	5056_2cgr_non-chg,"InChI=1S/C23H20N4O2/c24-15-17-11-13-20(14-12-17)26-23(25-16-21(28)29)27-22(18-7-3-1-4-8-18)19-9-5-2-6-10-19/h1-14,22H,16H2,(H,28,29)(H2,25,26,27)",49,51,0,8,-,3,4.38098,97.51,111.136,58011307807.95403,-11.32932,-16.29961,-nan,565.962,521.609
5057_2cgr_orig,C23H19N4O2-,383.423,383.151,N#Cc1ccc(cc1)/N=C(\NC(c1ccccc1)c1ccccc1)/NCC(=O)[O-]	5057_2cgr_orig,"InChI=1S/C23H20N4O2/c24-15-17-11-13-20(14-12-17)26-23(25-16-21(28)29)27-22(18-7-3-1-4-8-18)19-9-5-2-6-10-19/h1-14,22H,16H2,(H,28,29)(H2,25,26,27)/p-1",48,50,0,8,-,3,3.04628,100.34,109.194,56419015698.99358,35.30718,30.16085,-nan,327.559,320.594
